Czas w sekundach;Wartość funkcji celu
0;42768
1;31827
2;31827
3;30359
4;30359
5;30359
6;30359
7;30359
8;30359
9;30359
10;30359
11;30359
12;30359
13;30359
14;30359
15;30359
16;30359
17;30359
18;30359
19;29294
20;29294
21;29294
22;29294
23;29294
24;29294
25;29294
26;29294
27;29294
28;29294
29;29294
30;29294
31;29294
32;29294
33;29294
34;29294
35;29294
36;29294
37;29294
38;29294
39;29294
40;29294
41;29294
42;29294
43;29294
44;29294
45;29294
46;29294
47;27919
48;27919
49;27919
50;27919
51;27919
52;27919
53;27919
54;27919
55;27919
56;27919
57;27919
58;27919
59;27919
60;27919
