Czas w sekundach;Wartość funkcji celu
0;44007
1;30378
2;30378
3;28889
4;28889
5;28889
6;28889
7;28889
8;28889
9;28889
10;28889
11;28889
12;28239
13;28239
14;28239
15;28239
16;28239
17;28239
18;28239
19;28239
20;28239
21;28239
22;28239
23;28239
24;28239
25;28239
26;28239
27;28239
28;28239
29;28239
30;28239
31;28239
32;28239
33;28239
34;28239
35;28239
36;28239
37;28239
38;28239
39;28239
40;28239
41;28239
42;28239
43;28239
44;28239
45;26734
46;26734
47;26734
48;26734
49;26734
50;26734
51;26734
52;26734
53;26734
54;26734
55;26734
56;26734
57;26734
58;26734
59;26734
60;26734
