Czas w sekundach;Wartość funkcji celu
0;40509
1;40509
2;40509
3;40509
4;40509
5;40509
6;40509
7;40509
8;40509
9;40509
10;40509
11;40509
12;40509
13;40509
14;40509
15;40509
16;40509
17;40509
18;40509
19;40509
20;40509
21;40509
22;40509
23;40509
24;40509
25;40509
26;40509
27;40509
28;40509
29;40509
30;40509
31;40509
32;40509
33;40509
34;40509
35;40509
36;40509
37;40509
38;40509
39;40509
40;40509
41;40509
42;40509
43;40509
44;40509
45;40509
46;40509
47;40509
48;40509
49;40509
50;40509
51;40509
52;40509
53;40509
54;40509
55;40509
56;40509
57;40509
58;40509
59;40509
60;40509
60;40509
