Czas w sekundach;Wartość funkcji celu
0;42184
1;26959
2;26959
3;26959
4;26959
5;18821
6;15174
7;15174
8;15174
9;15174
10;15174
11;15174
12;15174
13;15174
14;15174
15;15174
16;15174
17;15174
18;15174
19;15174
20;15174
21;15174
22;15174
23;15174
24;15174
25;15174
26;15174
27;15174
28;15174
29;15174
30;15174
31;15174
32;15174
33;15174
34;15174
35;15174
36;15174
37;15174
38;15174
39;15174
40;15174
41;15174
42;15174
43;15174
44;15174
45;15174
46;15174
47;15174
48;15174
49;15174
50;15174
51;15174
52;15174
53;15174
54;15174
55;15174
56;15174
57;15174
58;15174
59;15174
60;15174
