Czas w sekundach;Wartość funkcji celu
0;43565
1;34574
2;33007
3;33007
4;31799
5;31799
6;31799
7;31799
8;31799
9;30722
10;30722
11;30722
12;30722
13;30722
14;30722
15;30540
16;30540
17;30540
18;30540
19;30540
20;30540
21;30540
22;30540
23;30540
24;30205
25;30205
26;30205
27;30205
28;30205
29;30205
30;30205
31;30205
32;30205
33;30205
34;30205
35;30205
36;30205
37;30205
38;30205
39;30205
40;30205
41;30205
42;30205
43;30205
44;30205
45;30205
46;30205
47;30205
48;30205
49;30205
50;30205
51;30205
52;30205
53;29791
54;29791
55;29791
56;29791
57;29791
58;29791
59;29791
60;29791
