Czas w sekundach;Wartość funkcji celu
0;24757
1;24708
2;24708
3;24708
4;24708
5;24708
6;24708
7;24708
8;24708
9;24708
10;24708
11;24708
12;24708
13;24708
14;24708
15;24708
16;24708
17;24708
18;24708
19;24708
20;24708
21;24708
22;24708
23;24708
24;24708
25;24708
26;24708
27;24708
28;24708
29;24708
30;24708
31;24708
32;24708
33;24708
34;24708
35;24708
36;24708
37;24708
38;24708
39;24708
40;24708
41;24708
42;24708
43;24708
44;24708
45;24708
46;24708
47;24708
48;24708
49;24708
50;24708
51;24708
52;24708
53;24708
54;24708
55;24708
56;24708
57;24708
58;24708
59;24708
60;24708
