second;swapAC;insertAC;invertAC;3optAC;swap;insert;invert3opt;
1;8481;7694;6721;45260;7996;7678;6736;45260
2;8481;7609;6721;34989;7996;7668;6736;36133
3;8481;7609;6721;28642;7996;7668;6736;28642
4;8481;7609;6721;22583;7996;7633;6736;22583
5;8481;7609;6721;17620;7996;7618;6736;17620
6;8481;7609;6721;13927;7996;7612;6736;14350
7;8481;7340;6721;11598;7996;7612;6736;11862
8;8481;7340;6721;10074;7996;7612;6736;10268
9;8481;7325;6721;8932;7996;7612;6736;9074
10;8347;7325;6721;8095;7996;7476;6736;8191
11;8011;7325;6721;7605;7996;7476;6736;7605
12;7662;7325;6721;7224;7996;7433;6736;7224
13;7615;7147;6721;6985;7996;7424;6736;7013
14;7615;7147;6721;6787;7996;7369;6736;6804
15;7615;7147;6721;6682;7996;7357;6736;6697
16;7615;7147;6721;6669;7996;7351;6736;6669
17;7547;7147;6721;6669;7996;7351;6736;6669
18;7547;7147;6721;6669;7996;7351;6736;6669
19;7492;7147;6721;6669;7964;7351;6736;6669
20;7492;6848;6721;6669;7517;7351;6736;6669
21;7492;6848;6721;6669;7517;7351;6736;6669
22;7492;6848;6721;6669;7517;7351;6736;6669
23;7492;6848;6721;6669;7517;7351;6736;6669
24;7492;6848;6721;6669;7517;7351;6736;6669
25;7492;6848;6721;6669;7517;7351;6736;6669
26;7492;6848;6721;6669;7517;7351;6736;6669
27;7492;6848;6721;6669;7517;7351;6736;6669
28;7492;6848;6721;6669;7517;7351;6736;6669
29;7492;6848;6721;6669;7517;7351;6736;6669
30;7492;6848;6721;6669;7517;7351;6736;6669
31;7492;6848;6721;6669;7517;7351;6736;6669
32;7492;6848;6721;6669;7517;7351;6736;6669
33;7492;6848;6721;6669;7517;7351;6736;6669
34;7492;6848;6721;6669;7517;7351;6736;6669
35;7492;6848;6721;6669;7517;7351;6736;6669
36;7492;6848;6721;6669;7517;7351;6736;6669
37;7492;6848;6721;6669;7517;7351;6736;6669
38;7492;6848;6721;6669;7517;7351;6736;6669
39;7492;6848;6721;6669;7517;7351;6736;6669
40;7492;6848;6721;6669;7517;7351;6736;6669
41;7492;6848;6721;6669;7517;7351;6736;6669
42;7492;6848;6721;6669;7517;7351;6736;6669
43;7492;6848;6721;6669;7517;7325;6736;6669
44;7492;6848;6721;6669;7517;7318;6736;6669
45;7492;6848;6721;6669;7517;7318;6736;6669
46;7492;6848;6721;6669;7517;7318;6736;6669
47;7492;6848;6721;6669;7517;7316;6736;6669
48;7492;6848;6721;6669;7517;7316;6736;6669
49;7492;6848;6721;6669;7517;7314;6736;6669
50;7492;6848;6721;6669;7517;7314;6736;6669
51;7492;6848;6721;6669;7517;7310;6736;6669
52;7492;6848;6721;6669;7510;7310;6736;6669
53;7492;6848;6721;6669;7508;7310;6736;6669
54;7492;6848;6721;6669;7503;7310;6736;6669
55;7492;6848;6721;6669;7503;7310;6736;6669
56;7492;6848;6721;6669;7493;7310;6736;6669
57;7492;6848;6721;6669;7493;7310;6736;6669
58;7492;6848;6721;6669;7492;7310;6736;6669
59;7492;6848;6721;6632;7481;7310;6736;6619
60;7492;6848;6721;6597;7481;7310;6736;6597
