second;swapAC;insertAC;invertAC;3optAC;swap;insert;invert3opt;
1;248670;521222;135748;869886;248873;517874;136316;869886
2;183071;358874;59914;869886;182408;356582;59914;869886
3;161861;271724;52154;869886;160155;278205;52154;869886
4;145958;214392;52154;869886;145948;223667;52154;869886
5;138941;177913;52154;869886;138587;182929;52154;869886
6;136731;147903;52154;869886;133080;152614;52154;869886
7;135544;124882;52154;869886;131471;131657;52154;869886
8;134379;108218;52154;869886;129176;111658;52154;869886
9;134032;99092;52154;869886;126022;98947;52154;869886
10;133211;88477;52154;869886;125036;88267;52154;869886
11;132859;82511;52154;869886;122806;83941;52154;869886
12;132810;77322;52154;869886;122036;79341;52154;869886
13;130493;74719;52154;862519;120699;78154;52154;862519
14;127578;73242;52154;862519;120305;78154;52154;862519
15;125837;73186;52154;862519;118409;78154;52154;862519
16;124973;73186;52154;862519;116012;78151;52154;862519
17;124062;73186;52154;862519;115917;78149;52154;862519
18;123334;73186;52154;862519;115623;78147;52154;862519
19;123258;73186;52154;862519;115220;78147;52154;862519
20;123049;73186;52154;862519;114261;78147;52154;862519
21;122231;73186;52154;862519;112916;78114;52154;862519
22;122210;73186;52154;862519;112678;78112;52154;862519
23;122210;73186;52154;862519;112613;78112;52154;862519
24;122210;73083;52154;862519;112335;78112;52154;862519
25;122210;73083;52154;862519;112333;78112;52154;862519
26;122210;73083;52154;855525;112333;78112;52154;855525
27;121946;73083;52154;855525;112333;78112;52154;855525
28;121733;73083;52154;855525;112333;78112;52154;855525
29;121702;73083;52154;855525;112333;78112;52154;855525
30;121702;73083;52154;855525;112286;78112;52154;855525
31;121685;73083;52154;855525;112054;78112;52154;855525
32;121116;73083;52154;855525;111846;77925;52154;855525
33;120406;73083;52154;855525;111846;77817;51648;855525
34;120371;73083;52154;855525;111793;77817;51648;855525
35;120371;73083;52154;855525;111793;77817;51648;855525
36;120371;73083;52154;855525;111793;77817;51648;855525
37;120371;73083;52154;855525;111793;77817;51648;855525
38;120371;73083;52154;855525;111793;77817;51648;855525
39;120371;73083;52154;848578;111793;77817;51648;855525
40;120371;73083;52154;848578;110099;77817;51648;848578
41;120371;73083;52154;848578;110043;77817;51648;848578
42;120371;73083;52154;848578;110043;77817;51648;848578
43;120371;73083;52154;848578;110025;77817;51648;848578
44;120371;73083;52154;848578;110025;77817;51648;848578
45;120371;73083;52154;848578;110025;77817;51648;848578
46;120371;73083;52154;848578;110025;77817;51648;848578
47;120323;73083;52154;848578;109998;77817;51648;848578
48;120323;73083;52154;848578;109985;77817;51648;848578
49;120323;73083;52154;848578;109981;77817;51648;848578
50;120323;73083;52154;848578;109971;77817;51648;848578
51;120323;73083;52154;848578;109971;77817;51648;848578
52;120323;73083;52154;842060;109970;77817;51648;848578
53;120323;73083;52154;842060;109964;77817;51648;842060
54;120323;73083;52154;842060;109963;77817;51648;842060
55;120323;73083;52154;842060;109961;77817;51648;842060
56;120323;73083;52154;842060;109961;77817;51648;842060
57;120323;73083;52154;842060;109961;77817;51648;842060
58;120323;73083;52154;842060;109961;77817;51648;842060
59;120323;73083;52154;842060;109961;77817;51648;842060
60;120323;73083;52154;842060;109961;77817;51648;842060
