second;swapAC;insertAC;invertAC;3optAC;swap;insert;invert3opt;
1;432;414;417;426;428;414;425;426
2;424;412;417;426;428;414;425;426
3;424;412;417;425;426;414;425;426
4;424;412;417;425;426;414;425;425
5;424;412;417;423;426;414;425;425
6;424;412;417;423;426;412;425;425
7;424;412;417;423;426;412;425;425
8;424;412;417;423;426;412;425;424
9;424;412;417;418;426;412;425;424
10;424;412;417;418;426;412;425;424
11;424;412;417;418;426;412;425;424
12;424;412;417;418;426;412;425;424
13;424;412;417;418;426;412;425;416
14;419;412;417;418;426;412;425;416
15;419;412;417;418;426;412;425;416
16;419;412;417;418;426;412;425;416
17;419;412;417;418;426;412;425;416
18;419;412;417;418;426;412;425;416
19;419;412;417;418;426;412;425;416
20;419;412;417;418;426;412;425;416
21;419;412;417;418;426;412;425;416
22;419;412;417;418;426;412;425;416
23;414;412;417;418;426;412;425;416
24;414;412;417;418;426;412;425;416
25;414;412;417;418;424;412;425;416
26;414;412;417;418;422;412;425;416
27;414;412;417;418;422;412;425;416
28;414;412;417;418;422;412;425;416
29;414;412;417;418;422;412;425;416
30;414;412;417;418;422;412;425;416
31;414;412;417;418;422;412;425;416
32;414;412;417;418;422;412;425;416
33;414;412;417;418;422;412;425;416
34;414;412;417;418;422;412;425;416
35;414;412;417;418;422;412;425;416
36;414;412;417;418;422;412;425;416
37;414;412;417;418;422;412;425;416
38;414;412;417;418;422;412;425;416
39;414;412;417;418;422;412;425;416
40;414;412;417;418;422;412;425;416
41;414;412;417;418;422;412;425;416
42;414;412;417;418;422;412;425;416
43;414;412;417;418;422;412;425;416
44;414;412;417;418;422;412;425;416
45;414;412;417;418;420;412;425;416
46;414;412;417;418;420;412;425;416
47;414;412;417;418;420;412;425;416
48;414;412;417;418;420;412;425;416
49;414;412;417;418;420;412;425;416
50;414;412;417;418;420;412;425;416
51;414;412;417;418;420;412;425;416
52;414;412;417;418;420;412;425;416
53;414;412;417;418;420;412;425;416
54;414;412;417;418;420;412;425;416
55;414;412;417;418;420;412;425;416
56;414;412;417;418;420;412;425;416
57;414;412;417;418;420;412;425;416
58;414;412;417;418;420;412;425;416
59;414;412;417;418;420;412;425;416
60;414;412;417;418;420;412;425;416
