second;swapAC;insertAC;invertAC;3optAC;swap;insert;invert3opt;
1;422;413;424;421;432;412;420;421
2;422;412;424;421;428;412;420;421
3;422;412;424;420;428;412;420;412
4;422;412;424;420;428;412;420;412
5;422;412;424;417;428;412;420;412
6;422;412;424;414;428;412;420;412
7;418;412;424;414;428;412;420;412
8;418;412;424;414;422;412;420;412
9;418;412;424;414;422;412;420;412
10;418;412;424;414;422;412;420;412
11;418;412;424;414;422;412;420;412
12;418;412;424;414;422;412;420;412
13;418;412;424;414;422;412;420;412
14;418;412;424;414;422;412;420;412
15;418;412;424;414;422;412;420;412
16;418;412;424;414;422;412;420;412
17;418;412;424;414;422;412;420;412
18;418;412;424;414;422;412;420;412
19;418;412;424;414;422;412;420;412
20;418;412;424;414;422;412;420;412
21;418;412;424;414;422;412;420;412
22;418;412;424;414;422;412;420;412
23;418;412;424;414;422;412;420;412
24;418;412;424;414;422;412;420;412
25;418;412;424;414;422;412;420;412
26;418;412;424;414;422;412;420;412
27;418;412;424;414;422;412;420;412
28;418;412;424;414;422;412;420;412
29;418;412;424;414;422;412;420;412
30;418;412;424;414;422;412;420;412
31;418;412;424;414;422;412;420;412
32;418;412;424;414;422;412;420;412
33;418;412;424;414;422;412;420;412
34;418;412;424;414;422;412;420;412
35;418;412;424;414;422;412;420;412
36;418;412;424;414;422;412;420;412
37;418;412;424;414;419;412;420;412
38;418;412;424;414;419;412;420;412
39;418;412;424;414;419;412;420;412
40;418;412;424;414;419;412;420;412
41;418;412;424;414;419;412;420;412
42;418;412;424;414;419;412;420;412
43;417;412;424;414;419;412;420;412
44;417;412;424;414;419;412;420;412
45;417;412;424;414;419;412;420;412
46;417;412;424;414;419;412;420;412
47;417;412;424;414;419;412;420;412
48;417;412;424;414;419;412;420;412
49;417;412;424;414;419;412;420;412
50;417;412;424;414;419;412;420;412
51;417;412;424;414;419;412;420;412
52;417;412;418;414;419;412;420;412
53;417;412;418;414;419;412;420;412
54;417;412;418;414;419;412;420;412
55;417;412;418;414;419;412;420;412
56;417;412;418;414;419;412;420;412
57;417;412;418;414;419;412;420;412
58;417;412;418;414;419;412;420;412
59;417;412;418;414;419;412;420;412
60;417;412;418;414;419;412;420;412
