second;swapAC;insertAC;invertAC;3optAC;swap;insert;invert3opt;
1;3485;3217;3536;3473;3485;3217;3536;3473
2;3485;3217;3536;3337;3485;3217;3536;3337
3;3485;3217;3536;3281;3485;3217;3536;3281
4;3485;3217;3536;3210;3485;3217;3536;3210
5;3485;3217;3536;3155;3485;3217;3536;3155
6;3485;3217;3536;3134;3485;3217;3536;3134
7;3485;3217;3536;3109;3485;3217;3536;3109
8;3485;3217;3536;3070;3485;3217;3536;3070
9;3485;3217;3536;3065;3485;3217;3536;3065
10;3485;3217;3536;3065;3485;3217;3536;3065
11;3485;3217;3536;3065;3485;3217;3536;3065
12;3485;3217;3536;3065;3485;3217;3536;3065
13;3485;3217;3536;3065;3485;3217;3536;3065
14;3485;3217;3536;3065;3485;3217;3536;3065
15;3485;3217;3536;3065;3485;3217;3536;3065
16;3485;3217;3536;3065;3485;3217;3536;3065
17;3485;3217;3536;3065;3485;3217;3536;3065
18;3485;3217;3536;3065;3485;3217;3536;3065
19;3485;3217;3536;3065;3485;3217;3536;3065
20;3485;3217;3536;3065;3485;3217;3536;3065
21;3485;3217;3536;3065;3485;3217;3536;3065
22;3485;3217;3536;3065;3485;3217;3536;3065
23;3485;3217;3536;3065;3485;3217;3536;3065
24;3485;3217;3536;3065;3485;3217;3536;3065
25;3485;3217;3536;3065;3485;3217;3536;3065
26;3485;3217;3536;3065;3485;3217;3536;3065
27;3485;3217;3536;3065;3485;3217;3536;3065
28;3485;3217;3536;3065;3485;3217;3536;3065
29;3485;3217;3536;3065;3485;3217;3536;3065
30;3485;3217;3536;3065;3485;3217;3536;3065
31;3485;3217;3536;3065;3485;3217;3536;3065
32;3485;3217;3536;3065;3485;3217;3536;3065
33;3485;3217;3536;3065;3485;3217;3536;3065
34;3485;3217;3536;3065;3485;3217;3536;3065
35;3485;3217;3536;3065;3485;3217;3536;3065
36;3485;3217;3536;3065;3485;3217;3536;3065
37;3485;3217;3536;3065;3485;3217;3536;3065
38;3485;3217;3536;3065;3485;3217;3536;3065
39;3485;3217;3536;3065;3485;3217;3536;3065
40;3485;3217;3536;3065;3485;3217;3536;3065
41;3485;3217;3536;3065;3485;3217;3536;3065
42;3485;3217;3536;3065;3485;3217;3536;3065
43;3485;3217;3536;3065;3485;3217;3536;3065
44;3485;3217;3536;3065;3485;3217;3536;3065
45;3485;3217;3536;3065;3485;3217;3536;3065
46;3485;3217;3536;3065;3485;3217;3536;3065
47;3485;3217;3536;3065;3485;3217;3536;3065
48;3485;3217;3536;3065;3485;3217;3536;3065
49;3485;3217;3536;3065;3485;3217;3536;3065
50;3485;3217;3536;3065;3485;3217;3536;3065
51;3485;3217;3536;3065;3485;3217;3536;3065
52;3485;3217;3536;3065;3485;3217;3536;3065
53;3485;3217;3536;3065;3485;3217;3536;3065
54;3485;3217;3536;3065;3485;3217;3536;3065
55;3485;3217;3536;3065;3485;3217;3536;3065
56;3485;3217;3536;3065;3485;3217;3536;3065
57;3485;3217;3536;3065;3485;3217;3536;3065
58;3485;3217;3536;3065;3485;3217;3536;3065
59;3485;3217;3536;3065;3485;3217;3536;3065
60;3485;3217;3536;3065;3485;3217;3536;3065
