RANDOM_GENERATION RANDOM_SELECTION CX RANDOM ELITE_PROTECTION ;8737
INSERT_GENERATION ROULETTE_SELECTION CX NEAREST_NEIGHBOUR ELITE_PROTECTION ;13769
INSERT_GENERATION ROULETTE_SELECTION CX2 INVERT RANDOM_ELIMINATING ;13835
INSERT_GENERATION TOURNAMENT_SELECTION PMX NEAREST_NEIGHBOUR RANDOM_ELIMINATING ;14144
RANDOM_GENERATION RANDOM_SELECTION CX2 NEAREST_NEIGHBOUR ELITE_PROTECTION ;17289
TWO_OPT_GENERATION ROULETTE_SELECTION NEAREST_NEIGHBOUR NEAREST_NEIGHBOUR AGE_ELIMINATING ;9466
RANDOM_GENERATION RANDOM_SELECTION OX NEAREST_NEIGHBOUR AGE_ELIMINATING ;19468
HYBRID_TWO_OPT_AND_RANDOM RANDOM_SELECTION PMX INVERT AGE_ELIMINATING ;9858
HYBRID_TWO_OPT_AND_RANDOM ROULETTE_SELECTION OX NEAREST_NEIGHBOUR RANDOM_ELIMINATING ;14819
HYBRID_TWO_OPT_AND_RANDOM ROULETTE_SELECTION NEAREST_NEIGHBOUR NEAREST_NEIGHBOUR AGE_ELIMINATING ;9263
INSERT_GENERATION TOURNAMENT_SELECTION OX RANDOM RANDOM_ELIMINATING ;13188
RANDOM_GENERATION RANDOM_SELECTION OX INVERT RANDOM_ELIMINATING ;11811
INSERT_GENERATION ROULETTE_SELECTION CX INVERT RANDOM_ELIMINATING ;11380
TWO_OPT_GENERATION TOURNAMENT_SELECTION OX RANDOM AGE_ELIMINATING ;7691
INSERT_GENERATION TOURNAMENT_SELECTION CX2 INSERT RANDOM_ELIMINATING ;14512
HYBRID_TWO_OPT_AND_RANDOM ROULETTE_SELECTION OX INSERT AGE_ELIMINATING ;7317
HYBRID_TWO_OPT_AND_RANDOM ROULETTE_SELECTION OX NEAREST_NEIGHBOUR ELITE_PROTECTION ;13792
INSERT_GENERATION RANDOM_SELECTION OX NEAREST_NEIGHBOUR AGE_ELIMINATING ;13497
INSERT_GENERATION ROULETTE_SELECTION CX2 NEAREST_NEIGHBOUR ELITE_PROTECTION ;13598
TWO_OPT_GENERATION TOURNAMENT_SELECTION NEAREST_NEIGHBOUR NEAREST_NEIGHBOUR AGE_ELIMINATING ;9799
INSERT_GENERATION TOURNAMENT_SELECTION CX INVERT RANDOM_ELIMINATING ;14292
RANDOM_GENERATION TOURNAMENT_SELECTION NEAREST_NEIGHBOUR INVERT AGE_ELIMINATING ;8211
INSERT_GENERATION RANDOM_SELECTION CX RANDOM RANDOM_ELIMINATING ;14256
HYBRID_TWO_OPT_AND_RANDOM TOURNAMENT_SELECTION PMX INSERT AGE_ELIMINATING ;7758
HYBRID_TWO_OPT_AND_RANDOM ROULETTE_SELECTION PMX NEAREST_NEIGHBOUR AGE_ELIMINATING ;14377
TWO_OPT_GENERATION TOURNAMENT_SELECTION PMX INVERT RANDOM_ELIMINATING ;14537
HYBRID_TWO_OPT_AND_RANDOM RANDOM_SELECTION OX INSERT ELITE_PROTECTION ;7586
RANDOM_GENERATION RANDOM_SELECTION CX2 RANDOM RANDOM_ELIMINATING ;17254
INSERT_GENERATION RANDOM_SELECTION CX INVERT AGE_ELIMINATING ;10315
INSERT_GENERATION RANDOM_SELECTION OX NEAREST_NEIGHBOUR RANDOM_ELIMINATING ;14246
HYBRID_TWO_OPT_AND_RANDOM RANDOM_SELECTION CX RANDOM RANDOM_ELIMINATING ;15053
TWO_OPT_GENERATION ROULETTE_SELECTION NEAREST_NEIGHBOUR INSERT RANDOM_ELIMINATING ;7899
TWO_OPT_GENERATION TOURNAMENT_SELECTION PMX RANDOM AGE_ELIMINATING ;7446
TWO_OPT_GENERATION RANDOM_SELECTION OX INSERT RANDOM_ELIMINATING ;13055
INSERT_GENERATION RANDOM_SELECTION OX INVERT AGE_ELIMINATING ;10075
HYBRID_TWO_OPT_AND_RANDOM TOURNAMENT_SELECTION PMX NEAREST_NEIGHBOUR ELITE_PROTECTION ;11515
RANDOM_GENERATION RANDOM_SELECTION OX INSERT ELITE_PROTECTION ;7746
INSERT_GENERATION RANDOM_SELECTION NEAREST_NEIGHBOUR INVERT ELITE_PROTECTION ;6954
HYBRID_TWO_OPT_AND_RANDOM ROULETTE_SELECTION OX INSERT ELITE_PROTECTION ;7861
TWO_OPT_GENERATION TOURNAMENT_SELECTION NEAREST_NEIGHBOUR INVERT ELITE_PROTECTION ;7137
TWO_OPT_GENERATION RANDOM_SELECTION CX INSERT ELITE_PROTECTION ;8158
HYBRID_TWO_OPT_AND_RANDOM ROULETTE_SELECTION OX RANDOM ELITE_PROTECTION ;7253
TWO_OPT_GENERATION TOURNAMENT_SELECTION PMX INSERT ELITE_PROTECTION ;7193
HYBRID_TWO_OPT_AND_RANDOM ROULETTE_SELECTION PMX INSERT RANDOM_ELIMINATING ;14546
