Czas w sekundach;Wartość funkcji celu
0;4795
1;3210
2;3077
3;3077
4;3077
5;3077
6;3077
7;3033
8;2896
9;2896
10;2896
11;2896
12;2896
13;2896
14;2896
15;2896
16;2896
17;2896
18;2896
19;2896
20;2896
21;2896
22;2896
23;2896
24;2896
25;2896
26;2896
27;2896
28;2896
29;2896
30;2896
31;2693
32;2693
33;2693
34;2693
35;2693
36;2693
37;2693
38;2693
39;2693
40;2693
41;2693
42;2693
43;2693
44;2693
45;2693
46;2693
47;2693
48;2693
49;2693
50;2693
51;2693
52;2693
53;2693
54;2693
55;2693
56;2693
57;2693
58;2693
59;2693
60;2693
