Czas w sekundach;Wartość funkcji celu
0;4539
1;2067
2;2067
3;2067
4;2067
5;2067
6;2067
7;2067
8;2067
9;2067
10;2067
11;2067
12;2067
13;2067
14;2067
15;2067
16;2067
17;2067
18;2067
19;2067
20;2067
21;2067
22;2067
23;2067
24;2067
25;2067
26;2067
27;2067
28;2067
29;2067
30;2067
31;2067
32;2067
33;2067
34;2067
35;2067
36;2067
37;2067
38;2067
39;2067
40;2067
41;2067
42;2067
43;2067
44;2067
45;2067
46;2067
47;2067
48;2067
49;2067
50;2067
51;2067
52;2067
53;2067
54;2067
55;2067
56;2067
57;2067
58;2067
59;2067
60;2067
60;2067
