Czas w sekundach;Wartość funkcji celu
0;3148
1;2028
2;2028
3;2028
4;2028
5;2028
6;2028
7;2028
8;2028
9;2028
10;2028
11;2028
12;2028
13;2028
14;2028
15;2028
16;2028
17;2028
18;2028
19;2028
20;2028
21;2028
22;2028
23;2028
24;2028
25;2028
26;2028
27;2028
28;2028
29;2028
30;2028
31;2028
32;2028
33;2028
34;2028
35;2028
36;2028
37;2028
38;2028
39;2028
40;2028
41;2028
42;2028
43;2028
44;2028
45;2028
46;2028
47;2028
48;2028
49;2028
50;2028
51;2028
52;2028
53;2028
54;2028
55;2028
56;2028
57;2028
58;2028
59;2028
60;2028
