Czas w sekundach;Wartość funkcji celu
0;4203
1;2891
2;2435
3;2203
4;2147
5;2147
6;2139
7;2079
8;2079
9;2079
10;2068
11;2068
12;2068
13;2068
14;2068
15;2068
16;2068
17;2068
18;2068
19;2068
20;2068
21;2036
22;2036
23;2036
24;2036
25;2036
26;2036
27;2036
28;2036
29;2036
30;2036
31;2036
32;2036
33;2036
34;2036
35;2036
36;2036
37;2036
38;2036
39;2036
40;2036
41;2036
42;2036
43;2036
44;2036
45;2036
46;2036
47;2036
48;2036
49;2036
50;2036
51;2036
52;2036
53;2036
54;2036
55;2036
56;2036
57;2036
58;2036
59;2036
60;2036
60;2036
