Czas w sekundach;Wartość funkcji celu
0;4629
1;2512
2;2506
3;2506
4;2271
5;2271
6;2271
7;2271
8;2271
9;2271
10;2271
11;2271
12;2271
13;2271
14;2271
15;2271
16;2271
17;2271
18;2271
19;2271
20;2271
21;2271
22;2271
23;2244
24;2244
25;2244
26;2244
27;2244
28;2244
29;2244
30;2244
31;2244
32;2244
33;2244
34;2244
35;2244
36;2244
37;2244
38;2244
39;2244
40;2244
41;2244
42;2244
43;2244
44;2244
45;2244
46;2244
47;2244
48;2244
49;2244
50;2244
51;2244
52;2244
53;2244
54;2244
55;2244
56;2244
57;2244
58;2244
59;2244
60;2244
60;2244
