Czas w sekundach;Wartość funkcji celu
0;4686
1;3338
2;3235
3;3235
4;3018
5;3018
6;2958
7;2958
8;2958
9;2662
10;2662
11;2662
12;2662
13;2662
14;2662
15;2662
16;2662
17;2662
18;2662
19;2662
20;2662
21;2662
22;2662
23;2662
24;2662
25;2662
26;2662
27;2662
28;2662
29;2662
30;2662
31;2662
32;2662
33;2662
34;2662
35;2662
36;2662
37;2662
38;2662
39;2662
40;2662
41;2662
42;2662
43;2662
44;2662
45;2662
46;2662
47;2662
48;2662
49;2662
50;2662
51;2662
52;2662
53;2662
54;2662
55;2662
56;2662
57;2662
58;2662
59;2662
60;2662
