Czas w sekundach;Wartość funkcji celu
0;4818
1;2033
2;2033
3;2033
4;2033
5;2033
6;2033
7;2033
8;2033
9;2033
10;2033
11;2033
12;2033
13;2033
14;2033
15;2033
16;2033
17;2033
18;2033
19;2033
20;2033
21;2033
22;2033
23;2033
24;2033
25;2033
26;2033
27;2033
28;2033
29;2033
30;2033
31;2033
32;2033
33;2033
34;2033
35;2033
36;2033
37;2033
38;2033
39;2033
40;2033
41;2033
42;2033
43;2033
44;2033
45;2033
46;2033
47;2033
48;2033
49;2033
50;2033
51;2033
52;2033
53;2033
54;2033
55;2033
56;2033
57;2033
58;2033
59;2033
60;2033
60;2033
