Czas w sekundach;Wartość funkcji celu
0;4638
1;4185
2;4185
3;4185
4;4185
5;4185
6;4185
7;4185
8;4185
9;4185
10;4185
11;4185
12;4185
13;4185
14;4185
15;4185
16;4185
17;4185
18;4185
19;4185
20;4185
21;4185
22;4185
23;4185
24;4185
25;4185
26;4185
27;4185
28;4185
29;4185
30;4185
31;4185
32;4185
33;4185
34;4185
35;4185
36;4185
37;4185
38;4185
39;4185
40;4185
41;4185
42;4185
43;4185
44;4185
45;4185
46;4185
47;4185
48;4185
49;4185
50;4185
51;4185
52;4185
53;4185
54;4185
55;4185
56;4185
57;4185
58;4185
59;4185
60;4185
