Czas w sekundach;Wartość funkcji celu
0;4543
1;2065
2;2065
3;2065
4;2065
5;2065
6;2065
7;2065
8;2065
9;2065
10;2065
11;2065
12;2065
13;2065
14;2065
15;2065
16;2065
17;2065
18;2065
19;2065
20;2065
21;2065
22;2065
23;2065
24;2065
25;2065
26;2065
27;2065
28;2065
29;2065
30;2065
31;2065
32;2065
33;2065
34;2065
35;2065
36;2065
37;2065
38;2065
39;2065
40;2065
41;2065
42;2065
43;2065
44;2065
45;2065
46;2065
47;2065
48;2065
49;2065
50;2065
51;2065
52;2065
53;2065
54;2065
55;2065
56;2065
57;2065
58;2065
59;2065
60;2065
