Czas w sekundach;Wartość funkcji celu
0;3143
1;2070
2;2070
3;2070
4;2070
5;2070
6;2070
7;2070
8;2070
9;2070
10;2070
11;2070
12;2070
13;2070
14;2070
15;2070
16;2070
17;2070
18;2070
19;2070
20;2070
21;2070
22;2070
23;2070
24;2070
25;2070
26;2070
27;2070
28;2070
29;2070
30;2070
31;2070
32;2070
33;2070
34;2070
35;2070
36;2070
37;2070
38;2070
39;2070
40;2070
41;2070
42;2070
43;2070
44;2070
45;2070
46;2070
47;2070
48;2070
49;2070
50;2070
51;2070
52;2070
53;2070
54;2070
55;2070
56;2070
57;2070
58;2070
59;2070
60;2070
60;2070
