Czas w sekundach;Wartość funkcji celu
0;24153
1;7653
2;7547
3;7547
4;7547
5;7547
6;7547
7;7547
8;7547
9;7547
10;7547
11;7547
12;7547
13;7547
14;7547
15;7547
16;7547
17;7547
18;7547
19;7547
20;7547
21;7547
22;7547
23;7547
24;7547
25;7547
26;7547
27;7547
28;7547
29;7547
30;7547
31;7547
32;7547
33;7547
34;7547
35;7547
36;7547
37;7542
38;7542
39;7542
40;7542
41;7542
42;7542
43;7542
44;7542
45;7542
46;7542
47;7542
48;7542
49;7542
50;7542
51;7542
52;7542
53;7542
54;7542
55;7542
56;7542
57;7542
58;7542
59;7542
60;7542
