Czas w sekundach;Wartość funkcji celu
0;24365
1;19529
2;19243
3;19243
4;19005
5;18883
6;18883
7;18883
8;18883
9;18883
10;18386
11;18386
12;18386
13;18386
14;18386
15;18386
16;18386
17;18386
18;18386
19;17087
20;17087
21;17087
22;17087
23;17087
24;17087
25;17087
26;17087
27;17087
28;17087
29;17087
30;17087
31;17087
32;17087
33;17087
34;17087
35;17087
36;17087
37;17087
38;17087
39;17087
40;16095
41;16095
42;16095
43;16095
44;16095
45;16095
46;16095
47;16095
48;16095
49;16095
50;16095
51;16095
52;16095
53;16095
54;16095
55;16095
56;16095
57;16095
58;16095
59;16095
60;16095
60;16095
