Czas w sekundach;Wartość funkcji celu
0;24466
1;7825
2;7825
3;7825
4;7825
5;7825
6;7825
7;7825
8;7825
9;7825
10;7825
11;7825
12;7825
13;7825
14;7825
15;7825
16;7825
17;7825
18;7825
19;7825
20;7825
21;7825
22;7825
23;7825
24;7825
25;7825
26;7825
27;7825
28;7825
29;7825
30;7825
31;7825
32;7825
33;7825
34;7825
35;7825
36;7825
37;7825
38;7825
39;7825
40;7825
41;7825
42;7825
43;7825
44;7825
45;7825
46;7825
47;7825
48;7825
49;7825
50;7825
51;7825
52;7825
53;7825
54;7825
55;7825
56;7825
57;7825
58;7825
59;7825
60;7825
60;7825
