Czas w sekundach;Wartość funkcji celu
0;15442
1;9981
2;7700
3;7700
4;7700
5;7700
6;7700
7;7700
8;7700
9;7700
10;7700
11;7700
12;7700
13;7700
14;7700
15;7700
16;7700
17;7700
18;7700
19;7700
20;7700
21;7700
22;7700
23;7700
24;7700
25;7700
26;7700
27;7700
28;7700
29;7700
30;7700
31;7700
32;7700
33;7700
34;7700
35;7700
36;7700
37;7700
38;7700
39;7700
40;7700
41;7700
42;7700
43;7700
44;7700
45;7700
46;7700
47;7700
48;7700
49;7700
50;7700
51;7700
52;7700
53;7700
54;7700
55;7700
56;7700
57;7700
58;7700
59;7700
60;7700
60;7700
