Czas w sekundach;Wartość funkcji celu
0;22370
1;18851
2;14909
3;14637
4;13512
5;11769
6;11769
7;11438
8;11438
9;11132
10;11132
11;10731
12;10731
13;10731
14;10731
15;10731
16;10731
17;10731
18;10731
19;10731
20;10731
21;10731
22;10731
23;10731
24;10731
25;10731
26;10731
27;10710
28;10710
29;10710
30;10710
31;10710
32;10710
33;10710
34;10710
35;10710
36;10710
37;10710
38;10710
39;10710
40;10684
41;10684
42;10684
43;10684
44;10684
45;10684
46;10684
47;10684
48;10684
49;10684
50;10684
51;10684
52;10684
53;10684
54;10684
55;10684
56;10684
57;10684
58;10684
59;10684
60;10684
60;10684
