Czas w sekundach;Wartość funkcji celu
0;25254
1;12200
2;11328
3;11328
4;11328
5;11328
6;11328
7;11328
8;11328
9;11328
10;11328
11;11328
12;11328
13;11328
14;11328
15;11328
16;11328
17;11328
18;11328
19;11328
20;11328
21;11328
22;11328
23;11328
24;11328
25;11122
26;11122
27;11122
28;11122
29;10692
30;10692
31;10692
32;10692
33;10692
34;10692
35;10692
36;10692
37;10692
38;10692
39;10692
40;10692
41;10692
42;10692
43;10692
44;10692
45;10692
46;10692
47;10692
48;10692
49;10692
50;10692
51;10692
52;10692
53;10692
54;10692
55;10692
56;10692
57;10692
58;10692
59;10692
60;10292
60;10292
