Czas w sekundach;Wartość funkcji celu
0;25042
1;17306
2;17306
3;17306
4;17306
5;17306
6;17306
7;17306
8;17268
9;17268
10;17268
11;17268
12;17268
13;17268
14;17268
15;17268
16;17268
17;17268
18;17268
19;17268
20;17268
21;17268
22;17268
23;17268
24;17268
25;17268
26;17268
27;17268
28;17268
29;17268
30;17268
31;17268
32;17268
33;17268
34;17237
35;17237
36;17237
37;16797
38;16797
39;16797
40;16797
41;16797
42;16797
43;16797
44;16797
45;16797
46;16797
47;16797
48;16797
49;16797
50;16797
51;16797
52;16797
53;16797
54;16797
55;16797
56;16797
57;16797
58;16618
59;16618
60;16618
60;16618
