Czas w sekundach;Wartość funkcji celu
0;25348
1;13637
2;9504
3;7604
4;7604
5;7604
6;7604
7;7604
8;7604
9;7604
10;7604
11;7604
12;7604
13;7604
14;7604
15;7604
16;7604
17;7604
18;7604
19;7604
20;7604
21;7604
22;7604
23;7604
24;7604
25;7604
26;7604
27;7604
28;7604
29;7604
30;7604
31;7604
32;7604
33;7604
34;7604
35;7604
36;7604
37;7604
38;7604
39;7604
40;7604
41;7604
42;7604
43;7604
44;7604
45;7604
46;7604
47;7604
48;7604
49;7604
50;7604
51;7604
52;7604
53;7604
54;7604
55;7604
56;7604
57;7604
58;7604
59;7604
60;7604
60;7604
