Czas w sekundach;Wartość funkcji celu
0;25628
1;23470
2;23470
3;23470
4;23470
5;23470
6;23470
7;23470
8;23470
9;23470
10;23470
11;23470
12;23470
13;23470
14;23470
15;23470
16;23470
17;23470
18;23470
19;23470
20;23470
21;23470
22;23470
23;23470
24;23470
25;23470
26;23470
27;23470
28;23470
29;23470
30;23470
31;23470
32;23470
33;23470
34;23470
35;23470
36;23470
37;23470
38;23470
39;23470
40;23470
41;23470
42;23470
43;23470
44;23470
45;23470
46;23470
47;23470
48;23470
49;23470
50;23470
51;23470
52;23470
53;23470
54;23470
55;23470
56;23470
57;23470
58;23470
59;23470
60;23470
60;23470
