Czas w sekundach;Wartość funkcji celu
0;13778
1;13778
2;8867
3;7781
4;7781
5;7781
6;7781
7;7781
8;7781
9;7781
10;7781
11;7781
12;7781
13;7781
14;7781
15;7781
16;7781
17;7781
18;7781
19;7781
20;7781
21;7781
22;7781
23;7781
24;7781
25;7781
26;7781
27;7781
28;7781
29;7781
30;7781
31;7781
32;7781
33;7781
34;7781
35;7781
36;7781
37;7781
38;7781
39;7781
40;7781
41;7781
42;7781
43;7781
44;7781
45;7781
46;7781
47;7781
48;7781
49;7781
50;7781
51;7781
52;7781
53;7781
54;7781
55;7781
56;7781
57;7781
58;7781
59;7781
60;7781
60;7781
