Czas w sekundach;Wartość funkcji celu
0;41551
1;28168
2;19900
3;14450
4;12478
5;10435
6;9221
7;8293
8;7511
9;6970
10;6636
11;6384
12;6329
13;6287
14;6284
15;6277
16;6277
17;6277
18;6277
19;6277
20;6277
21;6277
22;6277
23;6277
24;6277
25;6277
26;6277
27;6277
28;6277
29;6277
30;6277
31;6277
32;6277
33;6277
34;6277
35;6277
36;6277
37;6277
38;6277
39;6277
40;6277
41;6277
42;6277
43;6277
44;6277
45;6277
46;6277
47;6277
48;6277
49;6277
50;6277
51;6277
52;6277
53;6277
54;6277
55;6277
56;6277
57;6277
58;6277
59;6277
60;6277
