Czas w sekundach;Wartość funkcji celu
0;40832
1;38280
2;38029
3;37955
4;36632
5;36632
6;36632
7;36632
8;36632
9;36632
10;36632
11;36632
12;36632
13;36632
14;36632
15;36632
16;36632
17;36632
18;36632
19;36632
20;36632
21;36632
22;36632
23;36632
24;36632
25;36632
26;36632
27;36632
28;36632
29;36632
30;36632
31;36632
32;36632
33;36632
34;36632
35;36632
36;36632
37;36632
38;36632
39;36632
40;36632
41;36632
42;36632
43;36632
44;36632
45;36632
46;36632
47;36632
48;36632
49;36632
50;36632
51;36632
52;36632
53;36632
54;36632
55;36632
56;36632
57;36632
58;36632
59;36632
60;36632
