Czas w sekundach;Wartość funkcji celu
0;41900
1;6712
2;6430
3;6430
4;6430
5;6430
6;6430
7;6430
8;6430
9;6430
10;6430
11;6430
12;6430
13;6430
14;6430
15;6430
16;6430
17;6430
18;6430
19;6430
20;6430
21;6430
22;6430
23;6430
24;6430
25;6430
26;6430
27;6430
28;6430
29;6430
30;6430
31;6430
32;6430
33;6430
34;6430
35;6430
36;6430
37;6430
38;6430
39;6430
40;6430
41;6430
42;6430
43;6430
44;6430
45;6430
46;6430
47;6430
48;6430
49;6430
50;6430
51;6430
52;6430
53;6430
54;6430
55;6430
56;6430
57;6430
58;6430
59;6430
60;6430
