Czas w sekundach;Wartość funkcji celu
0;41104
1;27954
2;26999
3;23833
4;23081
5;21851
6;20086
7;18059
8;17717
9;17717
10;17717
11;17145
12;17145
13;17145
14;17145
15;17145
16;17145
17;17145
18;17145
19;17145
20;17145
21;17145
22;17145
23;17145
24;17145
25;16726
26;16726
27;16416
28;16416
29;16416
30;16416
31;16416
32;16416
33;16416
34;16416
35;16416
36;16416
37;16416
38;16416
39;16416
40;16416
41;16416
42;16242
43;14644
44;14644
45;14644
46;14644
47;14644
48;14644
49;14379
50;14379
51;14379
52;14379
53;14379
54;14379
55;14379
56;14379
57;14379
58;14379
59;14379
60;14379
