Czas w sekundach;Wartość funkcji celu
0;40359
1;37363
2;36865
3;35597
4;35597
5;35597
6;35597
7;35597
8;35597
9;35597
10;35597
11;35597
12;35597
13;35597
14;35597
15;35597
16;35597
17;35597
18;35597
19;35597
20;35597
21;35597
22;35597
23;35597
24;35597
25;35597
26;35597
27;35597
28;35597
29;35597
30;35597
31;35597
32;35597
33;35597
34;35597
35;35597
36;35597
37;35597
38;35597
39;35597
40;35597
41;35597
42;35597
43;35597
44;35597
45;35597
46;35597
47;35597
48;35597
49;35597
50;35597
51;35597
52;35597
53;35597
54;35597
55;35597
56;35597
57;35597
58;35597
59;35597
60;35597
