Czas w sekundach;Wartość funkcji celu
0;40054
1;36337
2;36005
3;34022
4;32267
5;21079
6;16729
7;13015
8;9606
9;8251
10;7770
11;7273
12;6878
13;6656
14;6630
15;6630
16;6630
17;6630
18;6630
19;6630
20;6630
21;6630
22;6630
23;6630
24;6630
25;6630
26;6630
27;6630
28;6630
29;6630
30;6630
31;6630
32;6630
33;6630
34;6630
35;6630
36;6630
37;6630
38;6630
39;6630
40;6630
41;6630
42;6630
43;6630
44;6630
45;6630
46;6630
47;6630
48;6630
49;6630
50;6630
51;6630
52;6630
53;6630
54;6630
55;6630
56;6630
57;6630
58;6630
59;6630
60;6630
