Czas w sekundach;Wartość funkcji celu
0;41017
1;39921
2;39921
3;39921
4;39921
5;39921
6;39921
7;39921
8;39921
9;39921
10;39921
11;39921
12;39921
13;39921
14;39921
15;39921
16;39921
17;39921
18;39921
19;39921
20;39921
21;39921
22;39921
23;39921
24;39921
25;39921
26;39921
27;39921
28;39921
29;39921
30;39921
31;39921
32;39921
33;39921
34;39921
35;39921
36;39921
37;39921
38;39921
39;39921
40;39921
41;39921
42;39921
43;39921
44;39921
45;39921
46;39921
47;39921
48;39921
49;39921
50;39921
51;39921
52;39921
53;39921
54;39921
55;39921
56;39921
57;39921
58;39921
59;39921
60;39921
60;39921
