Czas w sekundach;Wartość funkcji celu
0;42225
1;35007
2;32117
3;24940
4;13149
5;8497
6;7022
7;6506
8;6345
9;6345
10;6345
11;6345
12;6345
13;6345
14;6345
15;6345
16;6345
17;6345
18;6345
19;6345
20;6345
21;6345
22;6345
23;6345
24;6345
25;6345
26;6345
27;6345
28;6345
29;6345
30;6345
31;6345
32;6345
33;6345
34;6345
35;6345
36;6345
37;6345
38;6345
39;6345
40;6345
41;6345
42;6345
43;6345
44;6345
45;6345
46;6345
47;6345
48;6345
49;6345
50;6345
51;6345
52;6345
53;6345
54;6345
55;6345
56;6345
57;6345
58;6345
59;6345
60;6345
