Czas w sekundach;Wartość funkcji celu
0;40940
1;38350
2;37243
3;34082
4;34082
5;30264
6;24076
7;19685
8;19193
9;16711
10;13930
11;11783
12;10444
13;9441
14;9441
15;9136
16;8551
17;7981
18;7676
19;7676
20;7357
21;7102
22;6946
23;6894
24;6663
25;6637
26;6633
27;6633
28;6633
29;6633
30;6633
31;6633
32;6633
33;6633
34;6633
35;6633
36;6633
37;6633
38;6633
39;6633
40;6633
41;6633
42;6633
43;6633
44;6633
45;6633
46;6633
47;6633
48;6633
49;6633
50;6633
51;6633
52;6633
53;6633
54;6633
55;6633
56;6633
57;6633
58;6633
59;6633
60;6633
