Czas w sekundach;Wartość funkcji celu
0;21279
1;21239
2;21239
3;21239
4;18683
5;14251
6;12167
7;9895
8;8502
9;8021
10;7366
11;6723
12;6493
13;6430
14;6408
15;6408
16;6408
17;6408
18;6408
19;6408
20;6408
21;6408
22;6408
23;6408
24;6408
25;6408
26;6408
27;6408
28;6408
29;6408
30;6408
31;6408
32;6408
33;6408
34;6408
35;6408
36;6408
37;6408
38;6408
39;6408
40;6408
41;6408
42;6408
43;6408
44;6408
45;6408
46;6408
47;6408
48;6408
49;6408
50;6408
51;6408
52;6408
53;6408
54;6408
55;6408
56;6408
57;6408
58;6408
59;6408
60;6408
