Czas w sekundach;Wartość funkcji celu
0;47095
1;6828
2;6810
3;6750
4;6750
5;6750
6;6750
7;6750
8;6750
9;6750
10;6750
11;6750
12;6750
13;6750
14;6750
15;6712
16;6712
17;6712
18;6712
19;6712
20;6712
21;6712
22;6712
23;6712
24;6712
25;6712
26;6712
27;6712
28;6712
29;6712
30;6712
31;6712
32;6712
33;6712
34;6712
35;6712
36;6712
37;6712
38;6712
39;6712
40;6712
41;6712
42;6712
43;6712
44;6712
45;6712
46;6712
47;6712
48;6712
49;6712
50;6712
51;6712
52;6712
53;6712
54;6712
55;6712
56;6712
57;6712
58;6712
59;6712
60;6712
