Czas w sekundach;Wartość funkcji celu
0;25274
1;24933
2;24933
3;24933
4;24933
5;24933
6;24933
7;24933
8;24933
9;24933
10;24933
11;24933
12;24933
13;21045
14;18539
15;15681
16;12870
17;12143
18;10639
19;10639
20;9542
21;9103
22;8529
23;7790
24;7549
25;7363
26;7197
27;7164
28;7150
29;7150
30;7150
31;7150
32;7150
33;7150
34;7150
35;7150
36;7150
37;7150
38;7150
39;7150
40;7150
41;7150
42;7150
43;7150
44;7150
45;7150
46;7150
47;7150
48;7150
49;7150
50;7150
51;7150
52;7150
53;7150
54;7150
55;7150
56;7150
57;7150
58;7150
59;7150
60;7150
