Czas w sekundach;Wartość funkcji celu
0;28326
1;28326
2;28326
3;28326
4;28326
5;28326
6;28326
7;28326
8;28326
9;28326
10;28326
11;23119
12;20146
13;15095
14;12705
15;12705
16;12705
17;10524
18;9937
19;8803
20;8431
21;7685
22;7423
23;7310
24;7228
25;7156
26;7156
27;7156
28;7156
29;7156
30;7156
31;7156
32;7156
33;7156
34;7156
35;7156
36;7156
37;7156
38;7156
39;7156
40;7156
41;7156
42;7156
43;7156
44;7156
45;7156
46;7156
47;7156
48;7156
49;7156
50;7156
51;7156
52;7156
53;7156
54;7156
55;7156
56;7156
57;7156
58;7156
59;7156
60;7156
