Czas w sekundach;Wartość funkcji celu
0;46391
1;45853
2;43777
3;42785
4;42785
5;42785
6;42785
7;42785
8;42785
9;41984
10;41153
11;41153
12;38499
13;38499
14;38499
15;38499
16;38499
17;38499
18;38499
19;38499
20;38499
21;38499
22;38499
23;38499
24;38499
25;36330
26;36330
27;36330
28;36330
29;36330
30;36330
31;36330
32;36330
33;35297
34;35139
35;34860
36;34860
37;33339
38;33339
39;33339
40;32828
41;30837
42;30837
43;30837
44;30529
45;30325
46;29749
47;28710
48;28710
49;28617
50;27881
51;27881
52;27881
53;27881
54;27881
55;27881
56;27405
57;26830
58;26830
59;26148
60;26148
