Czas w sekundach;Wartość funkcji celu
0;170297
1;16664
2;16651
3;16562
4;16562
5;16545
6;16419
7;16419
8;16419
9;16419
10;16419
11;16419
12;16419
13;16419
14;16419
15;16408
16;16408
17;16408
18;16403
19;16403
20;16403
21;16403
22;16403
23;16278
24;16278
25;16278
26;16278
27;16278
28;16278
29;16278
30;16278
31;16278
32;16278
33;16278
34;16278
35;16278
36;16278
37;16278
38;16278
39;16278
40;16278
41;16278
42;16278
43;16278
44;16278
45;16278
46;16278
47;16278
48;16278
49;16278
50;16278
51;16278
52;16278
53;16278
54;16278
55;16278
56;16276
57;16276
58;16276
59;16233
60;16233
