Czas w sekundach;Wartość funkcji celu
0;161925
1;126375
2;95045
3;78961
4;70967
5;58489
6;49796
7;47464
8;40815
9;37905
10;33847
11;32269
12;29808
13;28595
14;27744
15;26714
16;24502
17;24125
18;23481
19;22903
20;22593
21;21652
22;21279
23;20411
24;20096
25;19616
26;18908
27;18743
28;18406
29;18080
30;17876
31;17633
32;17394
33;17322
34;17067
35;16854
36;16690
37;16552
38;16500
39;16433
40;16337
41;16284
42;16266
43;16244
44;16140
45;16133
46;16133
47;16133
48;16133
49;16133
50;16133
51;16133
52;16133
53;16133
54;16133
55;16133
56;16133
57;16133
58;16133
59;16133
60;16133
