Czas w sekundach;Wartość funkcji celu
0;163208
1;153255
2;150961
3;150961
4;150961
5;150961
6;150961
7;150961
8;150961
9;150961
10;150961
11;150961
12;150961
13;150961
14;150961
15;150961
16;150961
17;149959
18;149959
19;149959
20;149959
21;149959
22;149959
23;148640
24;147231
25;147231
26;147231
27;147181
28;147181
29;147181
30;147181
31;147064
32;147064
33;147064
34;147064
35;147064
36;147064
37;147064
38;147064
39;147064
40;147064
41;147064
42;147064
43;143136
44;143136
45;143136
46;143136
47;143136
48;143136
49;143136
50;143136
51;143136
52;143136
53;143136
54;143136
55;143136
56;143136
57;143136
58;143136
59;143136
60;143136
