Czas w sekundach;Wartość funkcji celu
0;168741
1;43341
2;22216
3;17299
4;16727
5;16727
6;16727
7;16727
8;16727
9;16727
10;16727
11;16727
12;16727
13;16727
14;16727
15;16727
16;16727
17;16727
18;16727
19;16727
20;16727
21;16727
22;16727
23;16727
24;16727
25;16727
26;16727
27;16727
28;16727
29;16727
30;16727
31;16727
32;16727
33;16727
34;16727
35;16727
36;16727
37;16727
38;16727
39;16727
40;16727
41;16727
42;16727
43;16727
44;16727
45;16727
46;16727
47;16727
48;16727
49;16727
50;16727
51;16727
52;16727
53;16727
54;16727
55;16727
56;16727
57;16727
58;16727
59;16727
60;16727
