Czas w sekundach;Wartość funkcji celu
0;59959
1;59959
2;59959
3;59959
4;59959
5;59959
6;59959
7;59959
8;59959
9;59959
10;59959
11;50727
12;47497
13;44669
14;41361
15;38012
16;36811
17;33534
18;31527
19;30289
20;27534
21;25989
22;25989
23;25741
24;24126
25;21912
26;21912
27;21503
28;20958
29;20958
30;20620
31;20000
32;19520
33;19064
34;18749
35;18471
36;17831
37;17535
38;17336
39;16874
40;16766
41;16609
42;16472
43;16344
44;16344
45;16267
46;16212
47;16212
48;16212
49;16212
50;16212
51;16212
52;16212
53;16212
54;16212
55;16212
56;16212
57;16212
58;16212
59;16212
60;16212
