Czas w sekundach;Wartość funkcji celu
0;78089
1;78089
2;78089
3;78089
4;78089
5;78089
6;78089
7;78089
8;78089
9;78089
10;78089
11;78089
12;78089
13;78089
14;78089
15;78089
16;78089
17;78089
18;78089
19;78089
20;78089
21;78089
22;78089
23;78089
24;78089
25;78089
26;78089
27;78089
28;78089
29;78089
30;72372
31;61593
32;58903
33;50982
34;45187
35;42583
36;39239
37;36521
38;35588
39;33372
40;31125
41;29807
42;27508
43;25661
44;24285
45;23791
46;23791
47;23454
48;22877
49;22314
50;21655
51;20983
52;20020
53;19926
54;19320
55;18892
56;18541
57;18234
58;17879
59;17525
60;17369
