Czas w sekundach;Wartość funkcji celu
0;168824
1;153250
2;150554
3;150554
4;150554
5;150554
6;150554
7;150554
8;150554
9;150262
10;150262
11;150262
12;150262
13;150262
14;150262
15;150262
16;150262
17;146491
18;146491
19;146491
20;146157
21;146157
22;146157
23;139196
24;135956
25;135956
26;135956
27;133861
28;133861
29;133861
30;133861
31;133861
32;133861
33;132368
34;132368
35;131292
36;130903
37;122665
38;122665
39;122665
40;119068
41;117631
42;109173
43;109173
44;109173
45;102278
46;102278
47;101338
48;101338
49;101338
50;98620
51;98620
52;98620
53;95954
54;95954
55;93576
56;93576
57;91879
58;91573
59;91573
60;91573
