Czas w sekundach;Wartość funkcji celu
0;170731
1;142347
2;111579
3;111579
4;111579
5;95228
6;86462
7;75718
8;74910
9;73603
10;70258
11;66971
12;64691
13;64014
14;60695
15;58848
16;56613
17;54121
18;54121
19;53093
20;50161
21;46355
22;46355
23;44463
24;42933
25;42933
26;42933
27;42933
28;42933
29;42933
30;42933
31;42718
32;42718
33;42121
34;42121
35;42121
36;37943
37;37943
38;37733
39;35477
40;35477
41;35477
42;35477
43;35477
44;35477
45;35477
46;35477
47;35477
48;35477
49;35477
50;35477
51;35477
52;35477
53;35477
54;35477
55;35477
56;35477
57;35477
58;35477
59;35477
60;35477
