Czas w sekundach;Wartość funkcji celu
0;165460
1;153815
2;144792
3;144792
4;144792
5;144792
6;144792
7;144792
8;144792
9;144792
10;144792
11;144792
12;143962
13;143962
14;143962
15;143962
16;143962
17;143962
18;143962
19;143962
20;143962
21;143962
22;143962
23;143962
24;143962
25;143962
26;143962
27;143962
28;143962
29;143962
30;143962
31;143962
32;143962
33;143962
34;143962
35;143962
36;143962
37;143962
38;143962
39;143962
40;143962
41;143962
42;143962
43;143962
44;143962
45;143962
46;143962
47;143962
48;143962
49;143962
50;143962
51;143962
52;143962
53;143962
54;143962
55;143962
56;143962
57;143962
58;143962
59;143962
60;143962
