Czas w sekundach;Wartość funkcji celu
0;167470
1;149623
2;149623
3;141994
4;141994
5;141994
6;139319
7;139319
8;139319
9;125946
10;125946
11;125946
12;125946
13;125946
14;125946
15;125946
16;122130
17;122130
18;122130
19;122130
20;122130
21;122130
22;122130
23;114298
24;114298
25;114298
26;114298
27;108449
28;91709
29;91237
30;77028
31;70378
32;62947
33;53684
34;49282
35;45771
36;39629
37;34686
38;32598
39;30614
40;28427
41;26103
42;25030
43;24417
44;23689
45;22337
46;21921
47;21921
48;21795
49;20285
50;19922
51;19445
52;19445
53;19192
54;19123
55;18893
56;18526
57;18343
58;18024
59;18024
60;17789
