Czas w sekundach;Wartość funkcji celu
0;165332
1;158750
2;158750
3;158750
4;158750
5;158750
6;158750
7;158750
8;158750
9;158750
10;158750
11;158750
12;158750
13;158750
14;158750
15;158750
16;158750
17;158750
18;158750
19;158750
20;158750
21;158750
22;158750
23;158750
24;158750
25;158750
26;158750
27;158750
28;158750
29;158750
30;158750
31;158750
32;158750
33;158750
34;158750
35;158750
36;158750
37;158750
38;158750
39;158750
40;158750
41;158750
42;158750
43;158750
44;158750
45;158750
46;158750
47;158750
48;158750
49;158750
50;158750
51;158750
52;158750
53;158750
54;158750
55;158750
56;158750
57;158750
58;158750
59;158750
60;158750
