Czas w sekundach;Wartość funkcji celu
0;167584
1;149265
2;137716
3;98273
4;74106
5;58788
6;43347
7;36542
8;31225
9;28148
10;25915
11;24340
12;23368
13;22209
14;20911
15;19366
16;19121
17;18649
18;18245
19;18094
20;17791
21;17246
22;17014
23;16839
24;16557
25;16557
26;16557
27;16557
28;16557
29;16557
30;16557
31;16557
32;16557
33;16557
34;16557
35;16557
36;16557
37;16557
38;16557
39;16557
40;16557
41;16557
42;16557
43;16557
44;16557
45;16557
46;16557
47;16557
48;16557
49;16557
50;16557
51;16557
52;16557
53;16557
54;16557
55;16557
56;16557
57;16557
58;16557
59;16557
60;16557
