Czas w sekundach;Wartość funkcji celu
0;172676
1;155818
2;152576
3;150339
4;142618
5;142618
6;127400
7;127400
8;127400
9;127400
10;127400
11;117162
12;117162
13;117162
14;111770
15;111770
16;111770
17;107074
18;100608
19;85966
20;85966
21;79041
22;65625
23;59748
24;54511
25;49969
26;44767
27;36062
28;36062
29;36062
30;34502
31;30770
32;29414
33;27767
34;26397
35;25656
36;25656
37;25200
38;24783
39;24418
40;23525
41;23525
42;22831
43;22270
44;21661
45;21004
46;20278
47;19593
48;19593
49;19593
50;19127
51;19010
52;18842
53;18686
54;18183
55;17930
56;17826
57;17826
58;17775
59;17775
60;17775
