Czas w sekundach;Wartość funkcji celu
0;57512
1;57512
2;57512
3;57512
4;57512
5;57512
6;57512
7;57512
8;57512
9;57512
10;57512
11;57512
12;57512
13;57512
14;57512
15;57512
16;57512
17;57512
18;57512
19;57512
20;57512
21;52913
22;43287
23;39332
24;36216
25;33243
26;30076
27;28430
28;27070
29;25135
30;23812
31;22203
32;21098
33;20306
34;20306
35;19787
36;19176
37;18825
38;18638
39;18447
40;18447
41;18274
42;17747
43;17703
44;17442
45;17073
46;17007
47;16868
48;16826
49;16693
50;16693
51;16693
52;16693
53;16693
54;16693
55;16693
56;16693
57;16693
58;16693
59;16693
60;16693
