Czas w sekundach;Wartość funkcji celu
0;3043
1;2719
2;2628
3;2448
4;2448
5;2448
6;2448
7;2355
8;2355
9;2208
10;2208
11;2208
12;2208
13;2208
14;2208
15;2191
16;2156
17;2094
18;2045
19;1867
20;1867
21;1830
22;1793
23;1793
24;1697
25;1697
26;1697
27;1697
28;1697
29;1684
30;1672
31;1588
32;1588
33;1471
34;1471
35;1471
36;1443
37;1434
38;1434
39;1434
40;1434
41;1389
42;1387
43;1355
44;1355
45;1355
46;1295
47;1295
48;1295
49;1295
50;1295
51;1295
52;1284
53;1238
54;1238
55;1238
56;1238
57;1199
58;1199
59;1199
60;1199
