Czas w sekundach;Wartość funkcji celu
0;2861
1;1815
2;1590
3;1590
4;1590
5;1556
6;1507
7;1507
8;1389
9;1356
10;1356
11;1356
12;1356
13;1356
14;1274
15;1274
16;1245
17;1245
18;1245
19;1245
20;1245
21;1245
22;1245
23;1245
24;1245
25;1245
26;1245
27;1245
28;1245
29;1245
30;1245
31;1245
32;1245
33;1245
34;1245
35;1245
36;1245
37;1245
38;1245
39;1245
40;1245
41;1221
42;1221
43;1221
44;1221
45;1221
46;1221
47;1221
48;1221
49;1221
50;1221
51;1221
52;1221
53;1221
54;1221
55;1221
56;1221
57;1221
58;1221
59;1221
60;1221
