Czas w sekundach;Wartość funkcji celu
0;3030
1;2647
2;2647
3;2519
4;2519
5;2519
6;2519
7;2519
8;2519
9;2519
10;2519
11;2519
12;2519
13;2519
14;2519
15;2519
16;2519
17;2519
18;2495
19;2456
20;2456
21;2456
22;2456
23;2456
24;2456
25;2456
26;2456
27;2456
28;2456
29;2456
30;2456
31;2456
32;2456
33;2456
34;2456
35;2456
36;2456
37;2456
38;2456
39;2456
40;2456
41;2456
42;2456
43;2456
44;2456
45;2456
46;2456
47;2456
48;2456
49;2456
50;2456
51;2456
52;2456
53;2456
54;2456
55;2456
56;2456
57;2456
58;2456
59;2456
60;2456
