Czas w sekundach;Wartość funkcji celu
0;1318
1;1126
2;1092
3;1092
4;1092
5;1092
6;1092
7;1092
8;1092
9;1092
10;1092
11;1092
12;1078
13;1066
14;1053
15;1053
16;1050
17;1050
18;1050
19;1050
20;1050
21;1050
22;1050
23;1050
24;1050
25;1050
26;1020
27;1020
28;1020
29;1020
30;1020
31;1020
32;1020
33;1020
34;1020
35;1020
36;1020
37;1020
38;1020
39;1020
40;1020
41;1020
42;1020
43;1020
44;1020
45;1020
46;1015
47;1015
48;1015
49;1015
50;1015
51;1007
52;1007
53;1007
54;1007
55;1007
56;1007
57;1007
58;1007
59;1007
60;1007
60;1007
